,Unnamed: 0,id,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,label
0,0,1,x,s,n,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p,0
1,1,2,x,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
2,2,3,b,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
3,3,4,x,y,w,t,Certain Poisonous,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p,0
4,4,5,x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,Certain Edible,g,e,1
5,5,6,x,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
6,6,7,b,s,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
7,7,8,b,y,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
8,8,9,x,y,w,t,Certain Poisonous,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p,0
9,9,10,b,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
10,10,11,x,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
11,11,12,x,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
12,12,13,b,s,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
13,13,14,x,y,w,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p,0
14,14,15,x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,Certain Edible,g,e,1
15,15,16,Certain Edible,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
16,16,17,f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,Certain Edible,g,e,1
17,17,18,x,s,n,t,Certain Poisonous,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p,0
18,18,19,x,y,w,t,Certain Poisonous,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p,0
19,19,20,x,s,n,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p,0
20,20,21,b,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
21,21,22,x,y,n,t,Certain Poisonous,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p,0
22,22,23,b,y,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
23,23,24,b,y,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
24,24,25,b,s,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
25,25,26,f,s,w,t,Certain Poisonous,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p,0
26,26,27,x,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
27,27,28,x,y,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
28,28,29,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e,1
29,29,30,x,s,y,t,Certain Edible,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
30,30,31,b,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
31,31,32,x,y,w,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p,0
32,32,33,x,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
33,33,34,x,y,n,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,n,y,p,e,1
34,34,35,b,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
35,35,36,x,f,y,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
36,36,37,Certain Edible,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,1
37,37,38,x,y,n,t,Certain Poisonous,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p,0
38,38,39,x,f,y,t,Certain Edible,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
39,39,40,b,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
40,40,41,b,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
41,41,42,x,y,y,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,p,e,1
42,42,43,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e,1
43,43,44,x,y,w,t,Certain Poisonous,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p,0
44,44,45,x,s,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
45,45,46,x,y,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
46,46,47,x,y,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
47,47,48,x,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
48,48,49,x,y,y,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,p,e,1
49,49,50,f,y,y,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,s,p,e,1
50,50,51,x,y,n,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,s,g,e,1
51,51,52,x,s,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
52,52,53,b,s,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
53,53,54,x,y,n,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p,0
54,54,55,x,s,w,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p,0
55,55,56,b,y,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
56,56,57,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,Certain Edible,g,e,1
57,57,58,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
58,58,59,x,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
59,59,60,x,y,n,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,p,e,1
60,60,61,Certain Edible,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,1
61,61,62,b,y,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
62,62,63,b,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
63,63,64,b,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
64,64,65,b,y,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
65,65,66,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,Certain Edible,g,e,1
66,66,67,x,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
67,67,68,f,y,y,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,g,e,1
68,68,69,x,y,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
69,69,70,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e,1
70,70,71,f,f,y,t,Certain Edible,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
71,71,72,b,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
72,72,73,f,f,y,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
73,73,74,x,y,n,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,k,s,p,e,1
74,74,75,b,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
75,75,76,f,s,y,t,Certain Edible,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
76,76,77,x,s,w,t,Certain Edible,f,w,n,n,t,b,s,s,w,w,p,w,o,p,Certain Edible,v,d,e,1
77,77,78,f,y,n,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,n,y,p,e,1
78,78,79,x,y,n,t,Certain Poisonous,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p,0
79,79,80,f,y,n,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,n,y,g,e,1
80,80,81,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e,1
81,81,82,x,y,w,t,Certain Poisonous,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p,0
82,82,83,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
