,spore-print-color_Certain Poisonous,cap-color_e,cap-surface_s,cap-surface_y,ring-number_Certain Poisonous,cap-color_Other,veil-color_Certain Poisonous,cap-shape_Certain Poisonous,cap-surface_Certain Poisonous,cap-shape_f,stalk-root_b,stalk-surface-above-ring_Other,cap-shape_x,cap-color_n,cap-color_g,gill-color_Other,gill-color_p,cap-color_Certain Edible,cap-shape_Certain Edible,ring-type_Certain Edible,stalk-surface-below-ring_y,label
0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0
1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
4,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,1
5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
8,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
10,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
11,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
13,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
14,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1
15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
16,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
17,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0
18,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
19,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0
20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
21,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0
22,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
23,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
25,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
26,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
27,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
28,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1
29,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,1
30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
31,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
32,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
33,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,1
34,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
35,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,1
36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
37,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0
38,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,1
